Regione,Località,Latitudine,Longitudine,AQI,CO,NO2,SO2,PM2.5,PM10
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-22 16:37:32","2","333.79","6.51","0.27","11.92","12.35"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-22 16:54:15","2","333.79","6.51","0.27","11.92","12.35"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-22 17:13:20","2","333.79","6.51","0.27","11.92","12.35"
"Abruzzo","Aquila","42.3489203","13.3979672","2025-03-22 17:16:33","2","220.3","0.84","0.37","4.77","5.13"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-22 18:19:14","3","841.14","61.69","1.21","29.33","31.6"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-22 18:41:42","2","343.8","7.8","0.31","11.06","11.52"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-22 18:54:32","2","343.8","7.8","0.31","11.06","11.52"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 15:09:43","2","293.73","3.51","0.17","4.47","4.79"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 16:17:31","2","287.06","3.38","0.17","4.1","4.39"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 17:26:01","2","290.39","4.2","0.19","4.31","4.63"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-23 17:33:24","2","620.84","42.16","1.1","9.72","11.18"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 17:38:50","2","303.75","6","0.26","4.84","5.25"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 19:40:55","2","347.14","8.57","0.47","5.99","6.64"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-23 19:48:17","2","347.14","8.57","0.47","5.99","6.64"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-24 18:28:43","2","350.48","11.82","0.66","8.29","9.06"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-24 18:40:25","2","367.17","14.91","0.79","8.79","9.74"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-24 18:43:53","3","1188.28","85","2.65","28.19","31.32"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-24 18:50:07","3","1188.28","85","2.65","28.19","31.32"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-25 10:36:30","2","313.76","6.17","0.72","6.3","7.42"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-25 11:17:58","2","317.1","6.51","0.85","6.06","7.17"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-25 11:27:14","2","317.1","6.51","0.85","6.06","7.17"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-25 11:48:11","2","307.08","5.44","0.75","7.12","8.07"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-25 16:52:36","2","273.71","5.74","0.4","5.7","6.37"
"Lazio","Roma","41.8933203","12.4829321","2025-03-26 10:10:11","2","614.17","11.14","1.04","22.94","26.51"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 10:35:39","3","247","1.1","0.51","4.74","4.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 10:44:18","3","247","1.1","0.51","4.74","4.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 11:07:50","3","247","1.1","0.51","4.74","4.96"
"Lombardia","Milano","45.4641943","9.1896346","2025-03-26 11:09:36","3","741.01","28.45","1.94","45.71","51.26"
"Piemonte","Biella","45.5669538","8.086912008297636","2025-03-26 11:51:53","3","293.73","1.93","0.49","8.89","9.34"
"Piemonte","Biella","45.5669538","8.086912008297636","2025-03-26 12:05:56","3","293.73","1.93","0.49","8.89","9.34"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 15:44:44","2","257.02","3.04","0.26","6.46","6.96"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 15:57:27","2","257.02","3.04","0.26","6.46","6.96"
"Piemonte","Torino","45.0677551","7.6824892","2025-03-26 16:19:54","4","360.49","3.77","0.97","18.1","19.04"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-26 16:55:43","2","277.04","5.27","0.38","8.23","8.87"
"Piemonte","Torino","45.0677551","7.6824892","2025-03-26 16:56:30","3","494","14.22","1.52","25.3","26.95"
"Piemonte","Ivrea","45.4673791","7.874797","2025-03-27 09:39:25","2","307.08","5.83","0.57","5.39","6.36"
